type,datum,NIS,kieskring,mandaten,"ingeschreven
kiezers",stembiljetten,blanco&ongeldig,lijstnr,lijst,stemb cat 1,stemb cat 2,stemcijfer,verkiesbaarheidscijfer,verkregen zetels
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,1,sp.a,2947,8577,11524,9220,4
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,2,N-VA,11733,14333,26066,23697,10
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,3,CD&V,1545,4348,5893,3929,2
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,4,Groen,9213,11867,21080,18738,8
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,5,VLAAMS BELANG,1897,4397,6294,4196,2
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,6,Open Vld,2415,5682,8097,6073,3
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,7,PVDA,2254,6212,8466,6350,3
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,8,PIRATENPARTIJ,196,502,698,,0
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,9,D-SA,259,2182,2441,1221,1
DI,14/10/2018,11102,Antwerpen,33,109144,94529,3229,10,Burgerlijst,284,457,741,,0
DI,14/10/2018,11232,Berchem,25,29377,26328,854,1,sp.a - Groen,2752,6265,9017,8116,9
DI,14/10/2018,11232,Berchem,25,29377,26328,854,2,N-VA,3762,4541,8303,7473,9
DI,14/10/2018,11232,Berchem,25,29377,26328,854,3,CD&V,622,1283,1905,1270,2
DI,14/10/2018,11232,Berchem,25,29377,26328,854,5,VLAAMS BELANG,719,996,1715,858,1
DI,14/10/2018,11232,Berchem,25,29377,26328,854,6,Open Vld,850,1751,2601,1734,2
DI,14/10/2018,11232,Berchem,25,29377,26328,854,7,PVDA,683,1250,1933,1289,2
DI,14/10/2018,11223,Berendrecht-Zandvliet-Lillo,15,7559,6952,417,2,N-VA,661,1688,2349,2014,6
DI,14/10/2018,11223,Berendrecht-Zandvliet-Lillo,15,7559,6952,417,3,CD&V,82,374,456,228,1
DI,14/10/2018,11223,Berendrecht-Zandvliet-Lillo,15,7559,6952,417,5,VLAAMS BELANG,413,1024,1437,1150,4
DI,14/10/2018,11223,Berendrecht-Zandvliet-Lillo,15,7559,6952,417,6,Open Vld,52,185,237,,0
DI,14/10/2018,11223,Berendrecht-Zandvliet-Lillo,15,7559,6952,417,7,PVDA,83,180,263,,0
DI,14/10/2018,11223,Berendrecht-Zandvliet-Lillo,15,7559,6952,417,8,PRO2040,405,1388,1793,1435,4
DI,14/10/2018,11242,Borgerhout,25,26591,23853,983,1,sp.a,817,2250,3067,2301,3
DI,14/10/2018,11242,Borgerhout,25,26591,23853,983,2,N-VA,2259,2638,4897,4198,6
DI,14/10/2018,11242,Borgerhout,25,26591,23853,983,3,CD&V,402,1128,1530,765,1
DI,14/10/2018,11242,Borgerhout,25,26591,23853,983,4,Groen,2259,5063,7322,6590,9
DI,14/10/2018,11242,Borgerhout,25,26591,23853,983,5,VLAAMS BELANG,612,887,1499,750,1
DI,14/10/2018,11242,Borgerhout,25,26591,23853,983,6,Open Vld,308,612,920,460,1
DI,14/10/2018,11242,Borgerhout,25,26591,23853,983,7,PVDA,1023,2612,3635,2908,4
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,1,sp.a,1340,3009,4349,3262,3
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,2,N-VA,6975,8255,15230,14059,12
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,3,CD&V,713,1790,2503,1252,1
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,4,Groen,2541,4950,7491,6243,5
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,5,VLAAMS BELANG,2082,3712,5794,4636,4
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,6,Open Vld,585,990,1575,788,1
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,7,PVDA,1274,3427,4701,3526,3
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,8,Be.One,30,215,245,,0
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,9,PARTIJ VLAANDEREN,59,122,181,,0
DI,14/10/2018,11252,Deurne,29,49717,44678,2069,10,D-SA,54,486,540,,0
DI,14/10/2018,11262,Ekeren,21,20401,18599,646,1,sp.a,452,1169,1621,1081,2
DI,14/10/2018,11262,Ekeren,21,20401,18599,646,2,N-VA,2360,4911,7271,6544,9
DI,14/10/2018,11262,Ekeren,21,20401,18599,646,3,CD&V,397,951,1348,674,1
DI,14/10/2018,11262,Ekeren,21,20401,18599,646,4,Groen,1166,1707,2873,2155,3
DI,14/10/2018,11262,Ekeren,21,20401,18599,646,5,VLAAMS BELANG,796,2315,3111,2489,4
DI,14/10/2018,11262,Ekeren,21,20401,18599,646,6,Open Vld,428,532,960,480,1
DI,14/10/2018,11262,Ekeren,21,20401,18599,646,7,PVDA,287,482,769,385,1
DI,14/10/2018,11272,Hoboken,23,25687,23566,970,1,sp.a,733,2148,2881,2161,3
DI,14/10/2018,11272,Hoboken,23,25687,23566,970,2,N-VA,3034,4302,7336,6521,8
DI,14/10/2018,11272,Hoboken,23,25687,23566,970,3,CD&V,330,1132,1462,731,1
DI,14/10/2018,11272,Hoboken,23,25687,23566,970,4,Groen,934,1782,2716,2037,3
DI,14/10/2018,11272,Hoboken,23,25687,23566,970,5,VLAAMS BELANG,1337,2015,3352,2682,4
DI,14/10/2018,11272,Hoboken,23,25687,23566,970,6,Open Vld,237,405,642,,0
DI,14/10/2018,11272,Hoboken,23,25687,23566,970,7,PVDA,688,2625,3313,2485,3
DI,14/10/2018,11272,Hoboken,23,25687,23566,970,8,D-SA,42,852,894,447,1
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,1,sp.a,659,2105,2764,2073,3
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,2,N-VA,2993,6403,9396,8613,11
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,3,CD&V,377,1658,2035,1357,2
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,4,Groen,955,2243,3198,2399,3
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,5,VLAAMS BELANG,1347,2916,4263,3411,4
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,6,Open Vld,332,632,964,482,1
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,7,PVDA,401,1138,1539,770,1
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,8,Be.One,29,215,244,,0
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,9,D-SA,16,293,309,,0
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,10,Volkspartij,30,106,136,,0
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,1,sp.a,564,1677,2241,1494,2
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,2,N-VA,3762,5773,9535,8669,10
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,3,CD&V,629,1874,2503,1669,2
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,4,Groen,1592,2074,3666,2933,4
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,5,VLAAMS BELANG,801,1869,2670,2003,3
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,6,Open Vld,719,1360,2079,1386,2
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,7,PVDA,489,1294,1783,1189,2
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,8,D-SA,32,374,406,,0
